timeslot,session,submission #,title
Mon-am,Mon-am_1,2307,GraphFSA: A Finite State Automaton Framework for Algorithmic Learning on Graphs
Mon-am,Mon-am_1,2336,VMFTransformer: An Angle-Preserving and Auto-Scaling Machine for Multi-horizon Probabilistic Forecasting
Mon-am,Mon-am_1,2275,IndMask: Inductive Explanation for Multivariate Time Series Black-box Models
Mon-am,Mon-am_1,2003,DeepDFA: Automata Learning through Neural Probabilistic Relaxations
Mon-am,Mon-am_1,314,TransFeat-TPP: An Interpretable Deep Covariate Temporal Point Processes
Mon-am,Mon-am_1,2672,A Neural Rewriting System to Solve Algorithmic Problems
Mon-am,Mon-am_1,1991,DecorTAD: Diffusion Based Conditional Representation Learning for Online Trajectory Anomaly Detection
Mon-am,Mon-am_1,596,FL-GNN: Efficient Fusion of Fuzzy Neural Network and Graph Neural Network
Mon-am,Mon-am_1,1574,Embedding Knowledge Graphs in Degenerate Clifford Algebras
Mon-am,Mon-am_2,993,Dirichlet Logistic Gaussian Processes for Evaluation of Black-Box Stochastic Systems under Complex Requirements
Mon-am,Mon-am_2,2197,TED: Accelerate Model Training by Internal Generalization
Mon-am,Mon-am_2,2719,A More Practical Algorithm for Weighted First-Order Model Counting with Linear Order Axiom
Mon-am,Mon-am_2,2906,Quantifying a Causal Effect from a CPDAG with Targeted Exogenous Causal Knowledge
Mon-am,Mon-am_2,2909,Unlocking Efficiency: Adaptive Masking for Gene Transformer Models
Mon-am,Mon-am_2,2850,Contextually Adaptive Algorithms for Gaussian Process Bandit Optimization under Heavy-tailed Noise
Mon-am,Mon-am_2,1051,Time Series Imputation with Multivariate Radial Basis Function Neural Network
Mon-am,Mon-am_2,2697,Approximate Estimation of High-dimension Execution Skill for Dynamic Agents in Continuous Domains
Mon-am,Mon-am_3,1827,Limited Voting for Better Representation?
Mon-am,Mon-am_3,2320,Complexity Results and Algorithms for Manipulation and Bribery in Judgment Aggregation
Mon-am,Mon-am_3,629,"Temporal Elections: Welfare, Strategyproofness, and Proportionality"
Mon-am,Mon-am_3,2248,Abductive and Contrastive Explanations for Scoring Rules in Voting
Mon-am,Mon-am_3,305,Multiwinner Temporal Voting with Aversion to Change
Mon-am,Mon-am_3,1869,Control by Adding Players to Change or Maintain the Shapley–Shubik or the Penrose–Banzhaf Power Index in Weighted Voting Games Is Complete for NP^PP
Mon-am,Mon-am_3,2054,Do we Care about Poll Manipulation in Political Elections?
Mon-am,Mon-am_3,1149,The Complexity of Manipulation of k-Coalitional Games on Graphs
Mon-am,Mon-am_3,2268,Existence of MMS Allocations of Mixed Manna
Mon-am,Mon-am_3,2565,The Degree of Fairness in Efficient House Allocation
Mon-am,Mon-am_4,849,Characterising Serialisation Equivalence for Abstract Argumentation
Mon-am,Mon-am_4,109,Rejection in Abstract Argumentation: Harder Than Acceptance?
Mon-am,Mon-am_4,472,Post-hoc Explanation of Extension Semantics
Mon-am,Mon-am_4,763,Interpretable image classification through an argumentative dialog between encoders
Mon-am,Mon-am_4,2539,EthiX: A Dataset for Argument Scheme Classification in Ethical Debates
Mon-am,Mon-am_4,1855,Revisiting Vacuous Reduct Semantics for Abstract Argumentation
Mon-am,Mon-am_4,1488,Learning Brave Assumption-Based Argumentation Frameworks via ASP
Mon-am,Mon-am_4,1428,Compromises in Dialogical Argumentation: Aggregated Policies for Biparty Decision Theory
Mon-am,Mon-am_5,1985,Offline Model-Based Reinforcement Learning with Anti-Exploration
Mon-am,Mon-am_5,719,Enhancing Reinforcement Learning Through Guided Search
Mon-am,Mon-am_5,698,"Mind the Model, Not the Agent: The Primacy Bias in Model-based RL"
Mon-am,Mon-am_5,669,A Multi-Agent Reinforcement Learning Algorithm Embedded with Opponent Modeling
Mon-am,Mon-am_5,1366,Learning Reward Structure with Subtasks in Reinforcement Learning
Mon-am,Mon-am_5,1172,Exploiting Hierarchical Symmetry in Multi-Agent Reinforcement Learning
Mon-am,Mon-am_5,1405,SelfBC: Self Behavior Cloning for Offline Reinforcement Learning
Mon-am,Mon-am_6,1253,Count-based Novelty Exploration in Classical Planning
Mon-am,Mon-am_6,552,NeSIG: A Neuro-Symbolic Method for Learning to Generate Planning Problems
Mon-am,Mon-am_6,424,Decision-Focused Learning to Predict Action Costs for Planning
Mon-am,Mon-am_6,1554,Scale-Adaptive Balancing of Exploration and Exploitation in Classical Planning
Mon-am,Mon-am_6,1484,Barely Decidable Fragments of Planning
Mon-am,Mon-am_6,918,Learning Interpretable Classifiers for PDDL Planning
Mon-am,Mon-am_6,2052,Gotta Catch 'Em All! Sequence Flaws in CEGAR for Classical Planning
Mon-am,Mon-am_6,565,Iterative Oversubscription Planning with Goal-Conflict Explanations: Scaling Up Through Policy-Guidance Approximation
Mon-am,Mon-am_7,1445,Hop-based Heterogeneous Graph Transformer
Mon-am,Mon-am_7,1632,Every Node Counts: Improving the Training of Graph Neural Networks on Node Classification
Mon-am,Mon-am_7,1346,Link prediction without learning
Mon-am,Mon-am_7,1069,"Graph Classification with GNNs : Optimisation, Representation and Inductive Bias"
Mon-am,Mon-am_7,2424,Learning a Mini-batch Graph Transformer via Two-stage Interaction Augmentation
Mon-am,Mon-am_7,368,Resilient Graph Neural Networks: A Coupled Dynamical Systems Approach
Mon-am,Mon-am_7,2149,Laner-GNN: Adapting to Long-Tail Degree Distribution with Latent Neighborhood Restorers
Mon-am,Mon-am_7,234,Enhancing Node Representations for Real-World Complex Networks with Topological Augmentation
Mon-am,Mon-am_8,1717,Grouped Logit Distillation Enhanced with Superclass Awareness for Efficient Knowledge Transfer
Mon-am,Mon-am_8,1058,Mutual Local Consistency Learning for Face Forgery Detection
Mon-am,Mon-am_8,871,Cross-stage Transfer in Multi-stage Cascade Ranking and Filtering Systems
Mon-am,Mon-am_8,1860,Efficient Initial Data Selection and Labeling for Multi-Class Classification Using Topological Analysis
Mon-am,Mon-am_8,699,MAMO:Deep Multi-task Architecture Learning via Multi-objective Optimization with Gradients Mediative Kernel
Mon-am,Mon-am_8,495,JOSAL: Joint Learning Framework for Open-Set Active Learning
Mon-am,Mon-am_8,641,CLCE: An Approach to Refining Cross-Entropy and Contrastive Learning for Optimized Learning Fusion
Mon-am,Mon-am_8,2804,Mixup Your Own Latent: Efficient and Robust Self-Supervised Learning on Small Images
